set,int,length
4,0,102.6
3,0,405
3,0,156.6
3,0,307.8
4,0,8.1
2,0,24.3
2,0,661.5
4,0,97.2
3,0,37.8
4,0,340.2
4,0,315.9
3,0,345.6
4,0,234.9
4,0,45.9
4,0,29.7
4,0,43.2
3,0,132.3
2,0,253.8
4,0,272.7
3,0,515.7
4,0,302.4
3,0,102.6
4,0,340.2
3,0,448.2
4,0,59.4
4,0,62.1
4,0,828.9
3,0,175.5
2,0,270
2,0,261.9
2,0,364.5
2,0,91.8
4,0,151.2
2,0,172.8
3,0,210.6
4,0,224.1
4,0,5.4
3,0,64.8
4,0,59.4
4,0,45.9
4,0,137.7
4,0,94.5
3,0,118.8
4,0,361.8
4,0,51.3
2,0,280.8
2,0,40.5
2,0,202.5
4,0,159.3
4,0,129.6
3,0,386.1
4,0,297
4,0,197.1
3,0,313.2
4,0,64.8
4,0,153.9
2,0,1255.5
3,0,264.6
3,0,305.1
2,0,5.4
4,0,280.8
3,0,313.2
4,0,54
3,0,369.9
4,0,59.4
4,0,18.9
3,0,172.8
2,0,124.2
2,0,2.7
4,0,448.2
4,0,56.7
4,0,283.5
4,0,256.5
2,0,16.2
2,0,442.8
2,0,999
2,0,140.4
2,0,40.5
4,0,105.3
4,0,56.7
4,0,18.9
2,0,920.7
4,0,599.4
4,0,43.2
2,0,529.2
2,0,475.2
2,0,510.3
4,0,2.7
4,0,410.4
4,0,702
3,0,156.6
2,0,1034.1
3,0,321.3
2,0,1285.2
3,0,91.8
4,0,332.1
3,0,237.6
2,0,18.9
4,0,791.1
3,0,912.6
4,0,108
2,0,329.4
4,0,315.9
2,0,54
4,0,245.7
2,0,334.8
3,0,261.9
4,0,113.4
2,0,167.4
2,0,8.1
3,0,59.4
3,0,81
2,0,72.9
4,0,116.1
2,0,602.1
3,0,156.6
4,0,148.5
4,0,440.1
4,0,56.7
4,0,21.6
3,0,361.8
2,0,1279.8
4,0,259.2
3,0,464.4
4,0,132.3
3,0,91.8
3,0,121.5
4,0,5.4
2,0,13.5
2,0,145.8
2,0,423.9
2,0,807.3
4,0,5.4
4,0,62.1
4,0,264.6
2,0,8.1
3,0,37.8
4,0,477.9
2,0,135
4,0,132.3
4,0,97.2
2,0,8.1
2,0,631.8
3,0,75.6
2,0,86.4
2,0,8.1
2,0,707.4
2,0,1009.8
2,0,40.5
2,0,43.2
2,0,702
4,0,43.2
2,0,456.3
4,0,232.2
2,0,710.1
4,0,48.6
2,0,108
2,0,369.9
2,0,132.3
3,0,639.9
4,0,67.5
4,0,226.8
4,0,164.7
2,0,218.7
2,0,253.8
2,0,18.9
4,0,326.7
2,0,456.3
4,0,261.9
4,0,243
2,0,162
4,0,445.5
4,0,170.1
2,0,291.6
3,0,302.4
2,0,415.8
2,0,259.2
3,0,310.5
3,0,253.8
2,0,477.9
2,0,97.2
2,0,29.7
2,0,186.3
2,0,8.1
2,0,261.9
2,0,723.6
4,0,334.8
2,0,110.7
2,0,67.5
3,0,140.4
4,0,261.9
4,0,394.2
2,0,143.1
2,0,437.4
2,0,329.4
2,0,256.5
3,0,16.2
3,0,286.2
4,0,1007.1
2,0,567
4,0,175.5
2,0,229.5
4,0,40.5
4,0,256.5
4,0,72.9
4,0,278.1
3,0,194.4
4,0,429.3
2,0,326.7
3,0,294.3
2,0,210.6
2,0,245.7
4,0,280.8
2,0,302.4
2,0,464.4
4,0,99.9
2,0,750.6
3,0,54
2,0,135
2,0,469.8
2,0,267.3
2,0,761.4
2,0,378
2,0,369.9
2,0,86.4
2,0,1077.3
2,0,2.7
2,0,334.8
4,0,672.3
2,0,207.9
2,0,353.7
4,0,226.8
2,0,378
3,0,62.1
4,0,226.8
4,0,183.6
2,0,148.5
2,0,467.1
2,0,367.2
2,0,515.7
2,0,118.8
3,0,116.1
4,0,143.1
2,0,648
2,0,72.9
2,0,62.1
2,0,980.1
2,0,8.1
4,0,13.5
2,0,1031.4
2,0,234.9
4,0,108
2,0,361.8
2,0,426.6
3,0,326.7
4,0,13.5
2,0,232.2
2,0,218.7
2,0,369.9
4,0,54
2,0,504.9
3,0,256.5
2,0,237.6
2,0,207.9
2,0,504.9
4,0,89.1
4,0,429.3
2,0,299.7
2,0,75.6
4,0,99.9
2,0,226.8
2,0,499.5
3,0,124.2
4,0,237.6
4,0,307.8
2,0,224.1
2,0,64.8
2,0,267.3
4,0,24.3
2,0,521.1
2,0,140.4
2,1,35.1
2,2,21.6
2,2,961.2
3,2,143.1
2,2,297
2,2,480.6
4,2,718.2
3,2,16.2
4,2,178.2
2,3,1352.7
2,4,205.2
2,4,170.1
4,4,245.7
3,4,229.5
2,5,172.8
2,6,302.4
2,7,83.7
2,7,469.8
2,7,507.6
4,7,715.5
2,8,542.7
2,8,62.1
2,9,199.8
2,9,1053
2,10,197.1
2,11,580.5
4,11,62.1
2,11,513
2,12,278.1
2,13,129.6
2,13,248.4
2,14,332.1
2,15,688.5
2,16,342.9
2,16,758.7
2,17,432
4,17,324
4,17,391.5
2,17,569.7
2,17,205.2
2,17,691.2
2,17,218.7
4,17,72.9
2,17,456.3
4,17,288.9
2,18,62.1
2,18,264.6
2,19,94.5
2,20,677.7
2,21,18.9
2,21,310.5
2,21,264.6
2,22,442.8
4,22,35.1
2,23,261.9
3,23,280.8
4,23,13.5
2,24,70.2
2,24,318.6
2,24,91.8
2,25,75.6
2,26,218.7
2,27,37.8
2,27,16.2
2,28,27
3,28,202.5
2,29,477.9
2,30,129.6
3,30,97.2
2,31,37.8
2,32,129.6
2,32,286.2
2,33,342.9
4,33,62.1
2,34,172.8
2,35,1387.8
2,36,21.6
2,36,286.2
2,36,594
4,36,148.5
4,36,650.7
4,36,10.8
2,37,121.5
2,38,32.4
2,38,691.2
2,39,1026
4,39,477.9
2,40,1641.6
2,41,264.6
3,41,32.4
2,41,604.8
2,42,332.1
2,43,496.8
2,44,27
3,44,1428.3
4,44,240.3
2,44,426.6
4,44,45.9
4,44,326.7
2,45,216
2,45,243
2,46,299.7
2,47,267.3
2,47,243
4,47,305.1
2,47,523.8
2,48,623.7
2,49,315.9
2,50,35.1
2,51,642.6
2,52,734.4
2,52,675
2,53,151.2
2,53,715.5
2,54,504.9
4,54,480.6
2,54,631.8
2,55,67.5
2,56,286.2
2,56,353.7
4,56,137.7
3,56,388.8
4,56,45.9
2,57,32.4
4,57,253.8
2,58,48.6
3,58,21.6
2,59,818.1
2,60,774.9
2,60,456.3
2,61,448.2
2,62,796.5
2,63,40.5
2,63,356.4
3,63,5.4
4,63,359.1
2,63,145.8
2,64,278.1
2,64,383.4
2,64,556.2
2,65,631.8
4,65,5.4
2,65,850.5
2,66,135
2,66,175.5
2,67,97.2
2,67,756
2,68,13.5
2,69,170.1
3,69,893.7
2,69,172.8
2,70,159.3
2,71,553.5
2,71,75.6
2,72,920.7
2,72,1247.4
2,72,99.9
2,72,388.8
2,73,132.3
2,74,32.4
2,74,410.4
2,75,345.6
4,75,253.8
2,76,167.4
4,76,248.4
2,77,78.3
2,78,37.8
2,78,226.8
2,79,693.9
2,80,729
2,80,737.1
2,81,834.3
2,82,135
2,82,391.5
2,82,340.2
2,83,21.6
2,84,1115.1
2,84,372.6
2,85,475.2
2,85,464.4
2,86,13.5
2,87,531.9
2,88,240.3
2,89,29.7
2,89,577.8
3,89,108
4,89,407.7
2,89,245.7
2,90,564.3
2,91,48.6
4,91,229.5
2,92,469.8
2,93,945
2,93,702
2,94,32.4
4,94,351
2,94,29.7
2,95,29.7
4,95,391.5
3,95,626.4
2,96,267.3
4,96,434.7
2,97,151.2
3,97,118.8
3,97,405
3,97,29.7
2,97,874.8
2,98,432
2,99,151.2
2,100,583.2
4,100,329.4
2,100,86.4
2,101,45.9
2,102,218.7
4,102,86.4
2,103,229.5
2,104,75.6
2,105,229.5
2,106,286.2
2,106,936.9
2,107,477.9
2,107,818.1
2,108,59.4
3,108,434.7
2,108,720.9
2,109,8.1
2,110,321.3
2,111,67.5
2,112,218.7
2,113,745.2
3,113,221.4
