set,int,length
2,0,178.2
2,0,945
4,0,275.4
2,0,218.7
2,0,67.5
2,0,394.2
3,0,629.1
4,0,810
2,0,828.9
2,0,637.2
4,0,45.9
2,0,766.8
2,0,626.4
2,0,272.7
2,0,450.9
2,0,1044.9
3,0,820.8
4,0,164.7
2,0,156.6
2,0,405
2,0,102.6
2,0,491.4
2,0,750.6
2,0,837
2,0,1139.4
2,0,450.9
2,0,67.5
2,0,542.7
2,0,542.7
4,0,364.5
4,0,1012.5
4,0,86.4
2,0,666.9
2,0,202.5
2,0,993.6
2,0,5.4
2,0,391.5
2,0,172.8
2,0,826.2
2,0,54
2,0,145.8
2,0,653.4
2,0,413.1
4,0,413.1
4,0,380.7
2,0,737.1
3,0,577.8
4,0,332.1
3,0,839.7
4,0,145.8
2,0,132.3
2,0,21.6
4,0,977.4
2,0,43.2
3,0,480.6
4,0,837
4,0,40.5
2,0,175.5
3,0,407.7
4,0,753.3
2,0,256.5
2,0,607.5
2,0,51.3
3,0,102.6
4,0,785.7
3,0,812.7
4,0,56.7
2,0,324
4,0,48.6
2,1,715.5
2,1,448.2
2,2,259.2
4,2,170.1
2,2,634.5
2,3,102.6
4,3,399.6
3,3,86.4
2,4,143.1
3,4,1169.1
4,4,669.6
2,5,380.7
2,6,475.2
2,7,216
2,8,27
2,9,731.7
3,9,102.6
4,9,596.7
4,9,72.9
3,9,872.1
2,9,861.3
3,9,226.8
2,9,459
3,9,475.2
3,9,283.5
4,9,159.3
3,9,307.8
4,9,207.9
2,10,321.3
2,11,45.9
2,11,407.7
2,12,102.6
3,12,804.6
4,12,97.2
2,12,367.2
4,12,35.1
2,13,337.5
2,13,305.1
2,13,553.5
2,14,148.5
2,15,1182.6
4,15,418.5
2,15,556.2
2,16,175.5
4,16,91.8
2,17,321.3
2,17,270
2,18,116.1
3,18,510.3
4,18,405
3,18,866.7
3,18,315.9
2,18,102.6
2,19,291.6
3,19,321.3
4,19,583.2
2,20,137.7
4,20,334.8
2,21,8.1
2,22,81
2,22,388.8
2,22,855.9
2,22,437.4
2,23,186.3
4,23,661.5
2,23,75.6
2,24,418.5
4,24,537.3
2,24,221.4
2,25,1109.7
2,25,1171.8
3,25,364.5
4,25,596.7
3,25,513
4,25,1101.6
4,25,148.5
3,25,464.4
2,26,472.5
2,27,356.4
3,27,850.5
4,27,121.5
3,27,540
2,27,993.6
2,28,180.9
2,28,256.5
2,28,243
4,28,67.5
2,29,599.4
3,29,823.5
4,29,591.3
3,29,966.6
4,29,477.9
4,29,40.5
3,29,580.5
