set,z,num
1,25.758,37.73584906
1,25.864,41.50943396
1,25.97,33.96226415
1,26.076,26.41509434
1,26.182,28.30188679
1,26.288,39.62264151
1,26.394,33.96226415
1,26.5,30.18867925
1,26.606,35.8490566
1,26.712,33.96226415
1,26.818,39.62264151
1,26.924,26.41509434
1,27.03,22.64150943
1,27.136,41.50943396
1,27.242,37.73584905
1,27.348,24.52830189
1,27.454,24.52830189
1,27.56,30.18867925
1,27.666,22.64150944
1,27.772,33.96226415
1,27.878,15.09433962
1,27.984,35.8490566
1,28.09,35.8490566
1,28.196,20.75471698
1,28.302,18.86792453
1,28.408,24.52830189
1,28.514,35.8490566
1,28.62,20.75471698
1,28.726,33.96226415
1,28.832,18.86792453
1,28.938,18.86792453
1,29.044,20.75471698
1,29.15,11.32075472
1,29.256,16.98113207
1,29.362,7.547169811
1,29.468,13.20754717
1,29.574,5.660377359
1,29.68,3.773584906
1,29.786,7.547169812
1,29.892,3.773584906
1,29.998,0
1,30.104,5.660377358
1,30.21,0
1,30.316,1.886792453
1,30.422,2.358490566
