set,z,num
4,6.0,21.0
5,6.0,0.0
6,6.0,0.0
7,6.0,0.0
8,6.0,0.0
9,6.0,1.0
10,6.0,6.0
11,6.0,0.0
12,6.0,0.0
1,6.25,2.0
2,6.25,33.0
3,6.25,0.0
4,6.25,22.0
5,6.25,0.0
6,6.25,0.0
7,6.25,0.0
8,6.25,0.0
9,6.25,6.0
10,6.25,3.0
11,6.25,0.0
12,6.25,0.0
1,6.5,3.0
2,6.5,22.0
3,6.5,0.0
4,6.5,33.0
5,6.5,0.0
6,6.5,0.0
7,6.5,0.0
8,6.5,0.0
9,6.5,1.0
10,6.5,5.0
11,6.5,0.0
12,6.5,0.0
1,6.75,3.0
2,6.75,19.0
3,6.75,0.0
4,6.75,29.0
5,6.75,0.0
6,6.75,0.0
7,6.75,0.0
8,6.75,0.0
9,6.75,2.0
10,6.75,3.0
11,6.75,0.0
12,6.75,0.0
1,7.0,1.0
2,7.0,12.0
3,7.0,0.0
4,7.0,24.0
5,7.0,0.0
6,7.0,0.0
7,7.0,0.0
8,7.0,0.0
9,7.0,1.0
10,7.0,0.0
11,7.0,0.0
12,7.0,0.0
1,7.25,2.0
2,7.25,20.0
3,7.25,0.0
4,7.25,16.0
5,7.25,0.0
6,7.25,0.0
7,7.25,0.0
8,7.25,0.0
9,7.25,2.0
10,7.25,3.0
11,7.25,0.0
12,7.25,0.0
1,7.5,0.0
2,7.5,9.0
3,7.5,0.0
4,7.5,17.0
5,7.5,0.0
6,7.5,0.0
7,7.5,0.0
8,7.5,0.0
9,7.5,0.0
10,7.5,0.0
11,7.5,0.0
12,7.5,0.0
1,7.75,0.0
2,7.75,22.0
3,7.75,0.0
4,7.75,14.0
5,7.75,0.0
6,7.75,0.0
7,7.75,0.0
8,7.75,0.0
9,7.75,5.0
10,7.75,3.0
11,7.75,0.0
12,7.75,0.0
1,8.0,0.0
2,8.0,16.0
3,8.0,0.0
4,8.0,18.0
5,8.0,0.0
6,8.0,0.0
7,8.0,0.0
8,8.0,0.0
9,8.0,1.0
10,8.0,4.0
11,8.0,0.0
12,8.0,0.0
1,8.25,0.0
2,8.25,16.0
3,8.25,0.0
4,8.25,20.0
5,8.25,0.0
6,8.25,0.0
7,8.25,0.0
8,8.25,0.0
9,8.25,1.0
10,8.25,2.0
11,8.25,0.0
12,8.25,0.0
1,8.5,1.0
2,8.5,10.0
3,8.5,0.0
4,8.5,13.0
5,8.5,0.0
6,8.5,0.0
7,8.5,0.0
8,8.5,0.0
9,8.5,0.0
10,8.5,2.0
11,8.5,0.0
12,8.5,0.0
1,8.75,0.0
2,8.75,10.0
3,8.75,0.0
4,8.75,17.0
5,8.75,0.0
6,8.75,0.0
7,8.75,0.0
8,8.75,0.0
9,8.75,1.0
10,8.75,0.0
11,8.75,0.0
12,8.75,0.0
1,9.0,1.0
2,9.0,4.0
3,9.0,0.0
4,9.0,9.0
5,9.0,0.0
6,9.0,0.0
7,9.0,0.0
8,9.0,0.0
9,9.0,0.0
10,9.0,1.0
11,9.0,0.0
12,9.0,0.0
1,9.25,0.0
2,9.25,13.0
3,9.25,0.0
