set,int,length
2,171,332.1
2,172,445.5
3,172,664.2
4,172,491.4
2,172,8.1
2,173,167.4
2,173,102.6
4,173,307.8
4,173,391.5
2,174,415.8
2,174,423.9
2,175,94.5
4,175,405
2,176,332.1
4,176,742.5
3,176,445.5
2,177,186.3
2,178,680.4
2,179,81
2,180,64.8
2,181,380.7
2,182,51.3
2,183,67.5
2,184,72.9
4,184,1134
2,185,27
3,185,648
2,185,415.8
3,185,218.7
2,186,329.4
2,187,162
2,188,132.3
4,188,483.3
2,189,135
2,190,224.1
2,191,102.6
2,192,348.3
3,192,731.7
2,193,27
2,194,429.3
2,194,310.5
2,195,299.7
2,195,178.2
4,195,685.8
2,196,140.4
3,196,1131.3
4,196,315.9
2,197,283.5
2,198,199.8
2,199,140.4
3,199,745.2
4,199,421.2
4,199,685.8
2,200,399.6
2,201,132.3
4,201,507.6
2,202,818.1
4,202,140.4
2,203,429.3
3,203,607.5
4,203,880.2
2,204,359.1
2,204,105.3
3,204,164.7
4,204,418.5
2,204,423.9
2,205,45.9
4,205,456.3
2,206,510.3
2,207,318.6
2,208,164.7
3,208,183.6
4,208,1017.9
2,209,326.7
2,210,243
2,211,170.1
2,212,199.8
2,213,16.2
2,214,83.7
2,215,299.7
3,215,310.5
2,216,67.5
3,216,413.1
4,216,523.8
2,217,359.1
4,217,410.4
2,218,35.1
4,218,415.8
2,219,27
3,219,810
2,219,162
3,219,199.8
2,220,75.6
2,221,62.1
3,221,135
2,222,27
3,222,621
4,222,197.1
4,222,575.1
2,223,248.4
2,224,105.3
2,225,126.9
2,226,267.3
2,227,178.2
3,227,1379.7
4,227,253.8
2,228,378
2,229,288.9
2,230,194.4
2,231,348.3
2,232,197.1
2,233,429.3
2,234,461.7
2,235,415.8
2,236,437.4
2,237,297
2,238,345.6
4,238,907.2
2,239,189
4,239,402.3
2,240,162
2,241,348.3
2,242,315.9
2,243,40.5
2,244,24.3
2,244,102.6
3,244,418.5
4,244,294.3
2,245,324
4,245,445.5
2,246,81
3,246,828.9
4,246,278.1
4,246,321.3
2,246,89.1
2,247,356.4
2,247,91.8
3,247,1109.7
4,247,450.9
2,248,56.7
4,248,772.2
2,249,183.6
3,249,634.5
4,249,464.4
2,250,72.9
2,251,145.8
4,251,16.2
2,252,153.9
3,252,369.9
2,253,345.6
2,253,472.5
2,254,156.6
2,255,178.2
2,256,394.2
3,256,426.6
4,256,10.8
4,256,162
2,257,75.6
3,257,54
2,258,299.7
2,259,43.2
3,259,488.7
2,260,288.9
2,261,213.3
2,261,167.4
4,261,440.1
3,261,1063.8
4,261,64.8
4,261,18.9
3,261,1336.5
3,261,110.7
4,261,812.7
2,262,324
2,263,91.8
4,263,280.8
2,263,29.7
2,264,37.8
4,264,29.7
2,264,27
2,265,59.4
3,265,1204.2
4,265,745.2
4,265,426.6
2,265,656.1
2,266,329.4
2,267,64.8
2,267,280.8
2,268,180.9
2,269,83.7
2,270,348.3
2,271,48.6
4,271,664.2
2,272,256.5
3,272,758.7
2,273,259.2
2,274,353.7
2,275,43.2
3,275,37.8
4,275,1371.6
3,275,453.6
2,276,275.4
2,276,658.8
2,276,245.7
4,276,556.2
2,277,75.6
2,278,315.9
2,278,64.8
2,279,334.8
4,279,788.4
3,279,151.2
4,279,1134
2,280,81
2,281,191.7
2,281,202.5
2,282,135
2,283,129.6
2,284,351
2,285,72.9
2,286,148.5
2,287,272.7
2,288,383.4
2,289,251.1
2,290,140.4
2,290,334.8
4,290,523.8
2,291,251.1
2,292,345.6
3,292,1409.4
4,292,372.6
2,293,337.5
4,293,307.8
2,294,264.6
2,294,143.1
2,294,286.2
2,295,216
2,296,278.1
2,297,283.5
2,298,302.4
2,299,264.6
3,299,283.5
4,299,1306.8
2,299,8.1
2,300,329.4
3,300,850.5
2,301,245.7
2,302,159.3
4,302,64.8
2,302,313.2
2,303,234.9
2,303,572.4
4,303,16.2
3,303,734.4
4,303,216
2,303,407.7
2,304,180.9
2,304,59.4
2,305,243
2,306,421.2
3,306,731.7
4,306,718.2
3,306,243
4,306,205.2
3,306,742.5
2,307,108
2,308,253.8
2,309,232.2
3,309,521.1
4,309,780.3
2,309,24.3
2,310,75.6
2,310,693.9
2,311,205.2
4,311,226.8
2,312,369.9
3,312,426.6
2,313,116.1
2,314,197.1
3,314,513
4,314,367.2
2,315,159.3
2,316,245.7
3,316,518.4
2,317,324
2,318,248.4
4,318,245.7
2,319,21.6
2,320,302.4
2,320,629.1
2,321,18.9
2,322,118.8
2,323,51.3
4,323,877.5
2,324,280.8
2,325,226.8
2,326,172.8
2,327,221.4
3,327,386.1
2,328,78.3
2,329,210.6
2,329,369.9
3,329,24.3
2,329,288.9
2,329,621
2,330,197.1
2,331,186.3
2,331,467.1
2,332,145.8
2,333,199.8
3,333,27
2,334,329.4
2,335,97.2
2,336,113.4
2,337,221.4
2,338,248.4
3,338,483.3
4,338,1212.3
3,338,990.9
4,338,1206.9
2,339,207.9
2,339,405
4,339,186.3
2,340,159.3
3,340,186.3
4,340,893.7
2,341,267.3
2,341,221.4
2,342,116.1
2,343,496.8
2,343,81
2,343,43.2
3,343,189
2,344,159.3
2,345,45.9
2,346,297
2,347,29.7
2,348,213.3
2,348,110.7
4,348,186.3
3,348,302.4
4,348,469.8
3,348,904.5
2,349,178.2
3,349,259.2
2,349,83.7
2,350,234.9
3,350,893.7
4,350,656.1
2,351,51.3
4,351,226.8
2,352,180.9
3,352,483.3
4,352,108
2,352,361.8
3,352,1220.4
4,352,191.7
2,353,54
2,354,178.2
2,354,742.5
3,354,1366.2
2,354,51.3
2,355,594
4,355,78.3
2,356,167.4
4,356,275.4
3,356,340.2
4,356,550.8
2,357,153.9
4,357,891
2,358,191.7
2,358,180.9
2,358,332.1
4,358,915.3
2,358,21.6
2,359,162
2,360,156.6
2,361,777.6
2,362,151.2
2,362,291.6
2,362,105.3
2,362,105.3
2,362,78.3
2,363,126.9
2,364,48.6
2,365,59.4
2,365,21.6
2,366,70.2
2,366,213.3
3,366,180.9
4,366,540
2,367,151.2
2,368,164.7
4,368,81
2,369,72.9
2,370,32.4
2,371,62.1
2,371,172.8
3,371,688.5
4,371,1155.6
2,371,324
3,371,369.9
2,371,218.7
2,372,172.8
3,372,224.1
4,372,548.1
4,372,16.2
2,373,97.2
2,374,124.2
2,375,140.4
4,375,882.9
2,376,243
4,376,704.7
2,376,199.8
2,377,153.9
4,377,488.7
3,377,0
4,377,569.7
2,377,189
4,377,191.7
2,377,615.6
3,377,980.1
4,377,288.9
2,378,140.4
2,379,205.2
4,379,456.3
2,380,27
2,381,145.8
3,381,1077.3
4,381,315.9
2,382,159.3
2,383,121.5
2,384,270
3,384,596.7
4,384,467.1
2,385,137.7
4,385,526.5
2,385,567
2,386,16.2
2,386,191.7
3,386,450.9
4,386,739.8
2,387,126.9
3,387,324
2,387,99.9
2,387,62.1
4,387,1034.1
2,388,13.5
2,389,135
2,390,102.6
2,391,145.8
2,391,785.7
4,391,567
2,392,164.7
3,392,375.3
2,393,137.7
2,394,121.5
2,395,175.5
2,396,91.8
2,397,16.2
3,397,302.4
2,398,24.3
2,399,121.5
2,400,305.1
4,400,407.7
2,401,105.3
3,401,858.6
4,401,342.9
3,401,926.1
3,401,264.6
2,402,43.2
4,402,1071.9
2,402,37.8
2,403,143.1
3,403,631.8
4,403,1050.3
2,403,434.7
2,403,232.2
2,404,135
2,405,83.7
2,406,129.6
2,407,94.5
2,408,81
2,409,102.6
4,409,89.1
2,410,129.6
2,411,97.2
2,412,216
3,412,162
4,412,491.4
2,413,237.6
2,414,16.2
4,414,467.1
4,414,270
2,415,113.4
3,415,440.1
4,415,788.4
3,415,756
3,415,99.9
2,416,145.8
2,417,108
4,417,291.6
4,417,337.5
4,417,469.8
2,417,712.8
2,417,94.5
2,418,229.5
3,418,234.9
4,418,448.2
2,419,70.2
3,419,291.6
2,419,86.4
3,419,442.8
2,419,224.1
4,419,213.3
2,419,459
2,420,861.3
2,421,113.4
3,421,467.1
3,421,648
4,421,342.9
4,421,324
4,421,599.4
3,421,1050.3
4,421,48.6
3,421,1495.8
3,421,189
4,421,702
2,422,216
4,422,669.6
3,422,1009.8
2,423,45.9
2,423,216
2,424,78.3
4,424,429.3
